time (secs),altitude (ft),speed (ft/s)
271.0,2.7000623958883807e-13,0.0
274.0,2.7000623958883807e-13,0.0
277.0,2.7000623958883807e-13,0.0
280.0,2.7000623958883807e-13,0.0
283.0,2.7000623958883807e-13,0.0
286.0,2.7000623958883807e-13,0.0
289.0,2.7000623958883807e-13,0.0
292.0,2.7000623958883807e-13,0.0
295.0,2.7000623958883807e-13,0.0
298.0,2.7000623958883807e-13,0.0
301.0,2.7000623958883807e-13,0.0
304.0,2.7000623958883807e-13,0.0
307.0,2.7000623958883807e-13,0.0
310.0,2.7000623958883807e-13,0.0
313.0,2.7000623958883807e-13,0.0
316.0,2.7000623958883807e-13,0.0
319.0,2.7000623958883807e-13,0.0
322.0,2.7000623958883807e-13,0.0
325.0,2.7000623958883807e-13,0.0
328.0,2.7000623958883807e-13,0.0
331.0,2.7000623958883807e-13,0.0
334.0,2.7000623958883807e-13,0.0
337.0,2.7000623958883807e-13,0.0
340.0,2.7000623958883807e-13,0.0
343.0,2.7000623958883807e-13,0.0
346.0,2.7000623958883807e-13,0.0
349.0,2.7000623958883807e-13,0.0
352.0,2.7000623958883807e-13,0.0
355.0,2.7000623958883807e-13,0.0
358.0,2.7000623958883807e-13,0.0
361.0,2.7000623958883807e-13,0.0
364.0,2.7000623958883807e-13,0.0
367.0,2.7000623958883807e-13,0.0
370.0,2.7000623958883807e-13,0.0
373.0,2.7000623958883807e-13,0.0
